"codigo"|"descripcion"|"departamento"|"seccion"|"rubro"|"habil"
0|SIN GRUPO|0|3|1|S
0|SIN GRUPO|0|5|1|S
0|SIN GRUPO|0|7|2|S
0|SIN GRUPO|0|8|2|S
0|SIN GRUPO|0|28|6|S
0|SIN GRUPO|0|35|1|S
0|SIN GRUPO|0|48|4|S
0|SIN GRUPO|0|56|5|S
0|SIN GRUPO|0|96|5|S
0|SIN GRUPO|1|3|1|S
0|SIN GRUPO|1|5|1|S
0|SIN GRUPO|1|7|2|S
0|SIN GRUPO|1|8|2|S
0|SIN GRUPO|1|14|3|S
0|SIN GRUPO|1|35|1|S
0|SIN GRUPO|1|48|4|S
0|SIN GRUPO|2|3|1|S
0|SIN GRUPO|2|7|2|S
0|SIN GRUPO|2|8|2|S
0|SIN GRUPO|2|14|3|S
0|SIN GRUPO|2|35|1|S
0|SIN GRUPO|2|48|4|S
0|SIN GRUPO|3|3|1|S
0|SIN GRUPO|3|8|2|S
0|SIN GRUPO|3|14|3|S
0|SIN GRUPO|3|35|1|S
0|SIN GRUPO|3|48|4|S
0|SIN GRUPO|4|7|2|S
0|SIN GRUPO|4|8|2|S
0|SIN GRUPO|4|10|1|S
0|SIN GRUPO|4|14|3|S
0|SIN GRUPO|4|35|1|S
0|SIN GRUPO|4|48|4|S
0|SIN GRUPO|5|7|2|S
0|SIN GRUPO|5|8|2|S
0|SIN GRUPO|5|10|1|S
0|SIN GRUPO|5|14|3|S
0|SIN GRUPO|5|48|4|S
0|SIN GRUPO|6|5|1|S
0|SIN GRUPO|6|7|2|S
0|SIN GRUPO|6|8|2|S
0|SIN GRUPO|7|5|1|S
0|SIN GRUPO|7|7|2|S
0|SIN GRUPO|7|8|2|S
0|SIN GRUPO|7|14|3|S
0|SIN GRUPO|7|48|4|S
0|SIN GRUPO|8|5|1|S
0|SIN GRUPO|8|7|2|S
0|SIN GRUPO|8|8|2|S
0|SIN GRUPO|8|14|3|S
0|SIN GRUPO|8|48|4|S
0|SIN GRUPO|9|3|1|S
0|SIN GRUPO|9|7|2|S
0|GRUPO0|9|8|2|S
0|SIN GRUPO|9|48|4|S
0|SIN GRUPO|10|6|1|S
0|SIN GRUPO|10|7|2|S
0|SIN GRUPO|10|8|2|S
0|SIN GRUPO|10|48|4|S
0|SIN GRUPO|11|3|1|S
0|SIN GRUPO|11|7|2|S
0|SIN GRUPO|11|8|2|S
0|SIN GRUPO|11|14|3|S
0|SIN GRUPO|11|48|4|S
0|SIN GRUPO|12|3|1|S
0|SIN GRUPO|12|7|2|S
0|SIN GRUPO|12|8|2|S
0|SIN GRUPO|12|14|3|S
0|SIN GRUPO|12|48|4|S
0|SIN GRUPO|13|3|1|S
0|SIN GRUPO|13|7|2|S
0|SIN GRUPO|13|8|2|S
0|SIN GRUPO|13|48|4|S
0|SIN GRUPO|14|3|1|S
0|SIN GRUPO|14|7|2|S
0|SIN GRUPO|14|8|2|S
0|SIN GRUPO|15|7|2|S
0|SIN GRUPO|15|8|2|S
0|SIN GRUPO|15|10|1|S
0|SIN GRUPO|16|3|1|S
0|SIN GRUPO|16|8|2|S
0|SIN GRUPO|17|3|1|S
0|SIN GRUPO|17|7|2|S
0|SIN GRUPO|17|8|2|S
0|SIN GRUPO|18|5|1|S
0|SIN GRUPO|18|7|2|S
0|SIN GRUPO|18|8|2|S
0|SIN GRUPO|19|3|1|S
0|SIN GRUPO|19|7|2|S
0|SIN GRUPO|19|8|2|S
0|SIN GRUPO|19|10|1|S
0|SIN GRUPO|20|3|1|S
0|SIN GRUPO|20|7|2|S
0|SIN GRUPO|20|8|2|S
0|SIN GRUPO|21|7|2|S
0|SIN GRUPO|21|8|2|S
0|SIN GRUPO|21|10|1|S
0|SIN GRUPO|21|14|3|S
0|SIN GRUPO|22|3|1|S
0|SIN GRUPO|22|7|2|S
0|SIN GRUPO|22|8|2|S
0|SIN GRUPO|23|3|1|S
0|SIN GRUPO|23|8|2|S
0|SIN GRUPO|24|3|1|S
0|SIN GRUPO|24|7|2|S
0|SIN GRUPO|24|8|2|S
0|SIN GRUPO|25|3|1|S
0|SIN GRUPO|25|8|2|S
0|SIN GRUPO|26|3|1|S
0|SIN GRUPO|26|7|2|S
0|SIN GRUPO|26|8|2|S
0|SIN GRUPO|27|3|1|S
0|SIN GRUPO|27|7|2|S
0|SIN GRUPO|27|8|2|S
0|SIN GRUPO|28|3|1|S
0|SIN GRUPO|28|7|2|S
0|SIN GRUPO|29|7|2|S
0|SIN GRUPO|29|8|2|S
0|SIN GRUPO|30|3|1|S
0|SIN GRUPO|31|3|1|S
0|SIN GRUPO|32|3|1|S
0|SIN GRUPO|33|3|1|S
0|SIN GRUPO|33|7|2|S
0|GRUPO0|34|3|1|S
0|SIN GRUPO|34|7|2|S
0|SIN GRUPO|35|3|1|S
0|SIN GRUPO|35|5|1|S
0|SIN GRUPO|35|7|2|S
0|SIN GRUPO|36|7|2|S
0|SIN GRUPO|37|7|2|S
0|SIN GRUPO|38|7|2|S
0|SIN GRUPO|39|7|2|S
0|SIN GRUPO|41|7|2|S
1|VERIFICAR GRUPO 1|1|3|1|S
1|SIN GRUPO - 1|1|5|1|S
1|ALIMENTO VACUNO|1|14|3|S
1|DIESEL|1|48|4|S
1|GRUPO 1|1|96|5|S
1|VERIFICAR GRUPO 1|2|3|1|S
1|VERIFICAR GRUPO 1|2|8|2|S
1|SIN GRUPO - 1|2|14|3|S
1|ELAION|2|48|4|S
1|REDUCTOR EMISIONES|3|48|4|S
1|GRUPO1|4|1|1|S
1|GRUPO1|4|10|1|S
1|EMULSIONES|4|48|4|S
1|GRUPO1|5|1|1|S
1|HERBICIDAS|5|48|4|S
1|GRUPO 1|6|5|1|S
1|SIN GRUPO|6|48|4|S
1|GRUPO 1|7|5|1|S
1|BOLSA SILO|7|48|4|S
1|GRUPO 1|8|5|1|S
1|MAIZ|8|48|4|S
1|PERFUMES|9|3|1|S
1|SIN GRUPO - 1|9|5|1|S
1|SERVICIOS VARIOS|9|48|4|S
1|GRUPO 1|10|6|1|S
1|ALIMENTOS|10|48|4|S
1|GRUPO1|11|3|1|S
1|VERIFICAR GRUPO 1|11|7|2|S
1|FILTROS|11|48|4|S
1|GRUPO1|12|3|1|S
1|KG.HIERRO PLANCHUELA|12|8|2|S
1|EQUIPOS|12|14|3|S
1|GAS ENVASADO|12|48|4|S
1|GRUPO1|13|3|1|S
1|NAFTAS|13|48|4|S
1|GRUPO1|14|3|1|S
1|CORREAS|14|7|2|S
1|GRUPO1|16|3|1|S
1|GRUPO1|17|3|1|S
1|VERIFICAR GRUPO 1|17|7|2|S
1|GRUPO 1|18|5|1|S
1|GRUPO1|20|3|1|S
1|GRUPO1|26|3|1|S
1|SIN GRUPO|34|3|1|S
1|SIN GRUPO|35|3|1|S
1|MASCOTAS|35|5|1|S
1|SIN GRUPO - 41|41|7|2|S
2|ALIMENTO P/PERRO|1|14|3|S
2|NAFTA|1|48|4|S
2|ACEITUNAS|2|3|1|S
2|ELAION MOTO|2|48|4|S
2|PARAFINAS|3|48|4|S
2|INSECTICIDAS|5|48|4|S
2|VERIFICAR GRUPO 2|6|5|1|S
2|VERIFICAR GRUPO 2|7|5|1|S
2|VERIFICAR GRUPO 2|8|5|1|S
2|SOJA|8|48|4|S
2|ACEITUNAS|9|3|1|S
2|GRUPO 2|10|14|3|S
2|BEBIDA C/GAS|10|48|4|S
2|LAMPARAS|11|48|4|S
2|VERIFICAR GRUPO 2|12|3|1|S
2|KG.HIERRO ANGULO|12|8|2|S
2|VARILLAS|12|14|3|S
2|ART. PARA EL AGRO|12|48|4|S
2|ACEITUNAS|14|3|1|S
2|ABERTURAS PVC|17|8|2|S
2|ACEITUNAS|26|3|1|S
3|ALIMIENTO P/GATOS|1|14|3|S
3|OTROS|1|48|4|S
3|ACONDICIONADOR PISOS|2|3|1|S
3|ELAION NAUTICO|2|48|4|S
3|VERIFICAR GRUPO 3|3|3|1|S
3|OBSEQUIOS|3|48|4|S
3|FINGUICIDAS|5|48|4|S
3|GRUPO 3|6|5|1|S
3|GRUPO 3|8|5|1|S
3|SORGO|8|48|4|S
3|VERIFICAR GRUPO 3|9|3|1|S
3|GRUPO 3|10|6|1|S
3|BEBBIDAS C/ALCOHOL|10|48|4|S
3|ADITIVOS|11|48|4|S
3|VERIFICAR GRUPO 3|12|3|1|S
3|KG.HIERRO TE|12|8|2|S
3|HILOS|12|14|3|S
3|ACCESORIOS GALVANIZA|15|7|2|S
3|VERIFICAR GRUPO 3|18|7|2|S
3|SIN GRUPO - 3|21|14|3|S
4|VERIFICAR GRUPO 4|1|8|2|S
4|VERIFICAR GRUPO 4|2|3|1|S
4|VERIFICAR GRUPO 4|2|7|2|S
4|ANTIBIOTICOS|2|14|3|S
4|EXTRA VIDA|2|48|4|S
4|ENVASES|3|48|4|S
4|VERIFICAR GRUPO 4|4|10|1|S
4|VERIFICAR GRUPO 4|5|10|1|S
4|INOCULANTES|5|48|4|S
4|GRUPO4|6|5|1|S
4|VERIFICAR GRUPO 4|6|7|2|S
4|GRUPO4|7|5|1|S
4|GRUPO4|8|5|1|S
4|GRUPO4|9|3|1|S
4|LUBRIC.-ACEITES-GRASAS|9|7|2|S
4|JUGOS|10|48|4|S
4|NEUMATICOS|11|48|4|S
4|VERIFICAR GRUPO 4|12|3|1|S
4|KG.HIERRO -U-|12|8|2|S
4|AISLADORES|12|14|3|S
4|VERIFICAR GRUPO 4|15|10|1|S
4|VERIFICAR GRUPO 4|18|7|2|S
4|ESPECIES|33|3|1|S
4|SIN GRUPO - 4|41|7|2|S
5|INGRESE DESCRIPCION|1|14|3|S
5|UNILEVER DIA DE LA MADRE|2|3|1|S
5|ANTIPARASITARIO|2|14|3|S
5|MANTENIMIENTO|2|48|4|S
5|INGRESE DESCRIPCION|3|14|3|S
5|VERIFICAR GRUPO 5|5|10|1|S
5|SIN GRUPO - 5|5|14|3|S
5|GRUPO 5|6|5|1|S
5|UNILEVER DIA DE LA MADRE|9|3|1|S
5|TORNILLOS P/MADERA|10|7|2|S
5|AGUAS|10|48|4|S
5|GRUPO5|11|8|2|S
5|VARIOS REPUESTOS Y ACCE.|11|48|4|S
5|UNILEVER DIA DE LA MADRE|12|3|1|S
5|KG.HIERRO REDONDO|12|8|2|S
5|VERIFICAR GRUPO 5|13|7|2|S
5|AGUAS|17|3|1|S
6|ALCOHOL|2|3|1|S
6|MEDICAMENTOS VARIOS|2|14|3|S
6|INDST. PROCESOS|2|48|4|S
6|GRUPO 6|6|5|1|S
6|GRUPO 6|7|5|1|S
6|VERIFICAR GRUPO 6|9|3|1|S
6|VERIFICAR GRUPO|9|14|3|S
6|OTRAS BEBIDAS|10|48|4|S
6|VERIFICAR GRUPO 6|12|3|1|S
6|KG.HIERRO CUADRADO|12|8|2|S
6|SIN GRUPO - 6|21|14|3|S
6|VERIFICAR GRUPO 6|24|8|2|S
7|VERIFICAR GRUPO 7|2|3|1|S
7|SIN GRUPO - 7|2|14|3|S
7|TRANSMISION|2|48|4|S
7|VACUNAS P/VACUNOS|3|14|3|S
7|GRUPO 7|7|5|1|S
7|VERIFICAR GRUPO 7|9|3|1|S
7|POSTRE HELADOS|10|48|4|S
7|REP. MOTORES VILLA|11|7|2|S
7|KG.CA¤O LAMINADO|11|8|2|S
7|VERIFICAR GRUPO 7|12|8|2|S
7|SIN GRUPO - 7|12|14|3|S
7|VERIFICAR GRUPO 7|14|3|1|S
7|ALFAJORES|16|3|1|S
7|VERIFICAR GRUPO|21|14|3|S
7|VERIFICAR GRUPO 7|22|3|1|S
8|ALAMBRE GALVANIZADO|1|8|2|S
8|INGRESE DESCRIPCION|2|14|3|S
8|GRASAS|2|48|4|S
8|VACUNAS P/PERROS|3|14|3|S
8|CUBIERTAS AUTO/CAMIO|5|7|2|S
8|GRUPO 8|8|5|1|S
8|ALGODON|9|3|1|S
8|GOLOCONAS|10|48|4|S
8|GRUPO8|14|8|2|S
8|VERIFICAR GRUPO 8|19|8|2|S
8|GRUPO8|41|7|2|S
9|ALAMBRE PLASTICO|1|8|2|S
9|ALIMENTOS|2|3|1|S
9|BAJA GAMA|2|48|4|S
9|VACUNAS P/AVES|3|14|3|S
9|SIN GRUPO - 9|4|48|4|S
9|GRUPO 9|6|5|1|S
9|GRUPO 9|7|5|1|S
9|SIN GRUPO - 9|7|48|4|S
9|VERIFICAR GRUPO 9|9|3|1|S
9|CIGARILLOS|10|48|4|S
9|VERIFICAR GRUPO 9|11|3|1|S
9|SIN GRUPO - 9|21|14|3|S
9|SIN GRUPO - 9|35|3|1|S
10|GRUPO 10|1|7|2|S
10|ALMIDON|2|3|1|S
10|LIQUIDO FRENOS|2|48|4|S
10|VACUNAS P/EQUINOS|3|14|3|S
10|GRUPO 10|6|5|1|S
10|GRUPO 10|8|5|1|S
10|GRUPO 10|10|6|1|S
10|REGALOS|10|48|4|S
10|VERIFICAR GRUPO 10|12|3|1|S
10|SIN GRUPO - 10|21|14|3|S
10|BOMBA PRESIRIZADORA|24|8|2|S
11|GRUPO11|1|3|1|S
11|VERIFICAR GRUPO 11|1|8|2|S
11|REFRIGERANTE|2|48|4|S
11|RATICIDAS|4|14|3|S
11|VARIOS MINIMERCADO|10|48|4|S
11|VERIFICAR GRUPO 11|11|3|1|S
11|BARRAS DE HIERROS|12|8|2|S
11|ANANA FIZZ|17|3|1|S
12|VERIFICAR GRUPO 12|1|8|2|S
12|COMPLEMENTARIOS|2|48|4|S
12|INGRESE DESCRIPCION|3|14|3|S
12|HORMIGUICIDAS|4|14|3|S
12|CUBIERTAS CAMION|5|7|2|S
12|CHAPA NEGRA|8|8|2|S
12|VERIFICAR GRUPO 12|12|3|1|S
12|APERITIVOS|17|3|1|S
13|ARROZ|2|3|1|S
13|CUIDADO AUTOMOTOR|2|48|4|S
13|PLAGUICIDAS P/MOSCAS|4|14|3|S
13|CUBIERTAS AGRICOLAS|5|7|2|S
13|CHAPAS TRAPEZOIDALES|8|8|2|S
13|VERIFICAR GRUPO 13|13|3|1|S
13|SIN GRUPO - 13|41|7|2|S
14|SIN GRUPO - 14|1|14|3|S
14|VERIFICAR GRUPO 14|2|3|1|S
14|SIN GRUPO  - 14|2|14|3|S
14|AGRICOLAS|2|48|4|S
14|INSECTICIDAS|4|14|3|S
14|CAMARAS Y PROTECTORE|5|7|2|S
14|VERIFICAR GRUPO|7|14|3|S
14|CHAPA GALVANIZADA|8|8|2|S
14|VERIFICAR GRUPO 14|14|3|1|S
14|SIN GRUPO - 14|21|14|3|S
14|LEGUMBRES|25|3|1|S
14|SIN GRUPO - 14|41|7|2|S
15|ATUN|2|3|1|S
15|PRENDAS|5|14|3|S
15|CHAPA ASFALTICA|8|8|2|S
15|SIN GRUPO - 15|8|14|3|S
15|GRUPO 15|10|6|1|S
15|VERIFICAR GRUPO 15|13|8|2|S
15|VERIFICAR GRUPO 15|15|10|1|S
15|GRUPO15|16|3|1|S
15|SIN GRUPO - 15|21|14|3|S
16|AVENA|2|3|1|S
16|CALZADOS|5|14|3|S
16|GRUPO 16|6|5|1|S
16|VERIFICAR GRUPO 16|7|7|2|S
16|GRUPO 16|8|5|1|S
16|CEMENTOS                 |10|8|2|S
16|VERIFICAR GRUPO 16|16|3|1|S
16|VERIFICAR GRUPO 16|18|7|2|S
16|BOCALLAVES Y ACCESORIOS|20|7|2|S
16|VERIFICAR GRUPO 16|27|8|2|S
17|MALLA SIMA|1|8|2|S
17|BIZCOCHOS|2|3|1|S
17|SEMILLAS DE JARDIN|6|14|3|S
17|REP./ACCE. BOMBEADOR|11|7|2|S
17|VERIFICAR GRUPO 17|13|3|1|S
17|VERIFICAR GRUPO 17|14|3|1|S
17|VERIFICAR GRUPO 17|17|3|1|S
17|VERIFICAR GRUPO 17|17|7|2|S
17|VERIFICAR GRUPO 17|17|8|2|S
17|VERIFICAR GRUPO 17|18|7|2|S
17|GRUPO17|26|8|2|S
18|BIZCOCHUELOS|2|3|1|S
18|GRUPO18|3|8|2|S
18|VERIFICAR GRUPO 18|4|8|2|S
18|GRUPO 18|6|5|1|S
18|SEMILLAS DE HUERTA|6|14|3|S
18|CADENAS RODILLO/ACCE|10|7|2|S
18|VERIFICAR GRUPO 18|11|8|2|S
18|VERIFICAR GRUPO 18|13|8|2|S
18|VERIFICAR GRUPO 18|14|3|1|S
18|VERIFICAR GRUPO 18|14|8|2|S
18|VERIFICAR GRUPO 18|17|7|2|S
18|GRUPO 18|18|5|1|S
18|CAÑOS GALVANIZADOS|20|8|2|S
19|VERIFICAR GRUPO 19|1|8|2|S
19|VERIFICAR GRUPO 19|2|3|1|S
19|GRUPO 19|6|5|1|S
19|JERINGAS|7|14|3|S
19|GRUPO 19|8|5|1|S
19|VERIFICAR GRUPO 19|11|8|2|S
19|VERIFICAR GRUPO 19|13|8|2|S
19|BOMBONES|16|3|1|S
19|SIN GRUPO|19|3|1|S
19|VERIFICAR GRUPO 19|19|10|1|S
19|CAÑO NEGRO|20|8|2|S
19|VERIFICAR GRUPO 19|22|3|1|S
20|GRUPO 20|6|5|1|S
20|GRUPO 20|7|5|1|S
20|AGUJAS|7|14|3|S
20|GRUPO 20|8|5|1|S
20|GRUPO 20|10|7|2|S
20|BROCHES|12|3|1|S
20|VERIFICAR GRUPO 20|19|8|2|S
20|VERIFICAR GRUPO 20|20|3|1|S
20|ELECTRODO|23|8|2|S
21|CEREAL|2|3|1|S
21|SIN GRUPO - 21|5|14|3|S
21|SEÑALADORES|7|14|3|S
21|GRUPO 21|8|5|1|S
21|SIN GRUPO - 21|11|14|3|S
21|VERIFICAR GRUPO 21|16|3|1|S
21|VERIFICAR GRUPO 21|17|3|1|S
21|VERIFICAR GRUPO 21|22|3|1|S
22|CABALLA|2|3|1|S
22|PINZAS|7|14|3|S
22|VERIFICAR GRUPO 22|22|3|1|S
22|VERIFICAR GRUPO 22|23|3|1|S
22|VIDRIOS.|23|8|2|S
23|SIN GRUPO - 23|1|14|3|S
23|CAFE|2|3|1|S
23|SIN GRUPO - 23|2|14|3|S
23|GRUPO 23|6|5|1|S
23|TENAZAS-TIJERAS|7|7|2|S
23|TALABARTERIA CUEROS|8|14|3|S
23|GRUPO 23|10|6|1|S
23|VERIFICAR GRUPO 23|11|7|2|S
23|VERIFICAR GRUPO 23|12|3|1|S
23|VERIFICAR GRUPO 23|19|7|2|S
23|VERIFICAR GRUPO 23|20|3|1|S
23|MADERA MACHIMBRE|22|8|2|S
23|VERIFICAR GRUPO 23|29|7|2|S
23|SIN GRUPO - 23|41|7|2|S
24|CALDOS|2|3|1|S
24|VERIFICAR GRUPO 24|8|7|2|S
24| TALABARTERIA  SINTETICOS|8|14|3|S
24|VERIFICAR GRUPO 24|17|7|2|S
24|VERIFICAR GRUPO 24|27|3|1|S
24|MOTORES EXPL/MOTOBOM|27|7|2|S
25|SIN GRUPO|2|3|1|S
25|CIELORRASOS PVC|2|8|2|S
25|VERIFICAR GRUPO 25|6|8|2|S
25|TALABRTERIA FREREOS|8|14|3|S
25|VERIFICAR GRUPO 25|9|3|1|S
25|VERIFICAR GRUPO 25|12|3|1|S
25|CABLE SUBTERRANEO|13|7|2|S
25|VERIFICAR GRUPO 25|13|8|2|S
25|GOLOSINAS|16|3|1|S
25|VERIFICAR GRUPO 25|16|8|2|S
25|VERIFICAR GRUPO 25|22|3|1|S
25|VERIFICAR GRUPO 25|25|8|2|S
25|VERIFICAR GRUPO 25|27|3|1|S
26|GRUPO 26|7|5|1|S
26|VERIFICAR GRUPO 26|9|3|1|S
26|ARTICULOS DE LIMPIEZ|9|14|3|S
26|VERIFICAR GRUPO 26|11|7|2|S
26|CEPILLO|12|3|1|S
26|CABLES BIPOLARES/ENV|13|7|2|S
26|VERIFICAR GRUPO 26|17|7|2|S
26|GRUPO26|17|8|2|S
26|ABERTURAS ALUMINIO|18|8|2|S
26|VERIFICAR GRUPO 26|20|7|2|S
26|VERIFICAR GRUPO 26|21|8|2|S
26|VERIFICAR GRUPO 26|26|3|1|S
26|SIN GRUPO - 26|41|7|2|S
27|VERIFICAR GRUPO 27|4|7|2|S
27|GRUPO 27|6|5|1|S
27|TAMBO VARIOS|9|14|3|S
27|VERIFICAR GRUPO 27|11|7|2|S
27|CERA LIQUIDA|12|3|1|S
27|VERIFICAR GRUPO 27|13|7|2|S
27|GRUPO27|17|8|2|S
27|ABERTURAS CHAPA|18|8|2|S
27|VERIFICAR GRUPO 27|20|7|2|S
27|SIN GRUPO - 27|21|14|3|S
27|ARTS. COMPUTACION|24|7|2|S
27|VERIFICAR GRUPO 27|26|7|2|S
28|CEREZAS|2|3|1|S
28|VERIFICAR GRUPO 28|2|8|2|S
28|VERIFICAR GRUPO 28|3|3|1|S
28|ACC.FUSION|3|8|2|S
28|FERTILIZANTE|6|14|3|S
28|MECHAS ACERO RAPIDO|7|7|2|S
28|GRUPO 28|8|5|1|S
28|VERIFICAR GRUPO 28|17|3|1|S
28|GRUPO28|17|8|2|S
28|VERIFICAR GRUPO 28|18|8|2|S
28|VERIFICAR GRUPO 28|25|8|2|S
29|SIN GRUPO - 29|1|14|3|S
29|VERIFICAR GRUPO 29|2|3|1|S
29|VERIFICAR GRUPO 29|2|8|2|S
29|VITAMINICOS|2|14|3|S
29|VERIFICAR GRUPO 29|4|8|2|S
29|INGRESE DESCRIPCION|4|14|3|S
29|GRUPO 29|6|5|1|S
29|VERIFICAR GRUPO|7|14|3|S
29|VERIFICAR GRUPO 29|10|8|2|S
29|SIN GRUPO  - 29|12|14|3|S
29|CABLES UNIPOLARES|13|7|2|S
29|VERIFICAR GRUPO 29|13|8|2|S
29|VERIFICAR GRUPO 29|16|3|1|S
29|CAMARA INSP.|16|8|2|S
29|CERVEZA|17|3|1|S
30|PULGAS|0|14|3|S
30|INGRESE DESCRIPCION|4|14|3|S
30|GRUPO 30|6|5|1|S
30|MECHAS/ACCESORIO SDS|7|7|2|S
30|GRUPO 30|10|6|1|S
30|CHAMPAGNE|17|3|1|S
30|HIDROFUGOS Y OTROS|21|8|2|S
30|VERIFICAR GRUPO 30|28|7|2|S
30|VERIFICAR GRUPO 30|30|3|1|S
31|ARGOLLAS|0|14|3|S
31|CHAMPIÑONES|2|3|1|S
31|SIN GRUPO - 31|2|14|3|S
31|VERIFICAR GRUPO 31|4|7|2|S
31|GRUPO 31|6|5|1|S
31|SIN GRUPO|7|14|3|S
31|VERIFICAR GRUPO|8|14|3|S
31|GRUPO 31|10|6|1|S
31|LAMPARAS|13|7|2|S
31|VERIFICAR GRUPO 31|15|10|1|S
31|VERIFICAR GRUPO 31|31|3|1|S
31|SIN GRUPO - 31|41|7|2|S
32|BABOSA Y CARARACOL|0|14|3|S
32|VERIFICAR GRUPO 32|2|3|1|S
32|VERIFICAR GRUPO 32|2|8|2|S
32|SIN GRUPO - 32|2|14|3|S
32|INGRESE DESCRIPCION|4|14|3|S
32|GRUPO 32|6|5|1|S
32|VERIFICAR GRUPO 32|7|7|2|S
32|GRUPO 32|8|5|1|S
32|VERIFICAR GRUPO 32|12|7|2|S
32|BASES-FICHAS-LLAVES|13|7|2|S
32|VERIFICAR GRUPO 32|14|8|2|S
32|CHICLES|16|3|1|S
32|TANQUES|16|8|2|S
32|VERIFICAR GRUPO 32|17|7|2|S
32|VERIFICAR GRUPO 32|22|3|1|S
33|HERBICIDAS|0|14|3|S
33|CHOCLO|2|3|1|S
33|INGRESE DESCRIPCION|6|14|3|S
33|VERIFICAR GRUPO 33|12|7|2|S
33|CAPACIT.-CONTACT-TERMICAS|13|7|2|S
34|CADENAS|0|14|3|S
34|VERIFICAR GRUPO 34|2|3|1|S
34|CAÑOS NEGROS|3|8|2|S
34|VERIFICAR GRUPO 34|4|7|2|S
34|GRUPO 34|6|5|1|S
34|GRUPO 34|7|5|1|S
34|VERIFICAR GRUPO 34|7|7|2|S
34|VERIFICAR GRUPO|8|14|3|S
34|GRUPO 34|10|6|1|S
34|VERIFICAR GRUPO 34|11|7|2|S
34|VERIFICAR GRUPO 34|11|8|2|S
34|CAJAS-GABINETES-CA¥OS|13|7|2|S
34|CHOCOLATE|16|3|1|S
34|VERIFICAR GRUPO 34|20|7|2|S
34|VERIFICAR GRUPO 34|22|3|1|S
34|VERIFICAR GRUPO 34|27|3|1|S
35|CARAVANAS|0|14|3|S
35|GRUPO35|3|8|2|S
35|CAÑOS POLIETILENO|4|8|2|S
35|GRUPO 35|6|5|1|S
35|VERIFICAR GRUPO 35|6|7|2|S
35|CAJA HERRAMIENTAS-VARIOS|7|7|2|S
35|VERIFICAR GRUPO|7|14|3|S
35|VERIFICAR GRUPO 35|8|7|2|S
35|VERIFICAR GRUPO 35|13|7|2|S
35|CHUPETIN|16|3|1|S
35|VERIFICAR GRUPO 35|17|7|2|S
36|SIN GRUPO - 36|1|14|3|S
36|COCTEL DE FRUTAS|2|3|1|S
36|SIN GRUPO - 36|2|14|3|S
36|VERIFICAR GRUPO 36|3|3|1|S
36|GRUPO36|3|8|2|S
36|CAÑOS POLIPROPILENO|4|8|2|S
36|GRUPO 36|6|5|1|S
36|INGRESE DESCRIPCION|6|14|3|S
36|VERIFICAR GRUPO|7|14|3|S
36|GRUPO 36|10|6|1|S
36|SIN GRUPO - 36|11|14|3|S
36|VERIFICAR GRUPO 36|12|3|1|S
36|GRUPO 36|12|14|3|S
36|VERIFICAR GRUPO 36|14|8|2|S
36|ACCESORIOS|21|14|3|S
37|TALABARTERIA VARIOS|0|14|3|S
37|SIN GRUPO|2|3|1|S
37|CAÑOS PVC|2|8|2|S
37|SIN GRUPO - 37|2|14|3|S
37|VERIFICAR GRUPO 37|3|8|2|S
37|SIN GRUPO - 37|5|14|3|S
37|SIN GRUPO|7|14|3|S
37|VERIFICAR GRUPO|8|14|3|S
37|CONFITES|16|3|1|S
38|INGRESE DESCRIPCION|1|14|3|S
38|SIN GRUPO - 38|2|14|3|S
38|TRICICLOS|4|7|2|S
38|INGRESE DESCRIPCION|5|14|3|S
38|GRUPO 38|6|5|1|S
38|GRUPO 38|7|5|1|S
38|SIN GRUPO - 38|7|14|3|S
38|GRUPO 38|8|5|1|S
38|CREMA DE AFEITAR|9|3|1|S
38|NUTRILAR|10|14|3|S
38|SIN GRUPO|11|14|3|S
38|CAÑOS EPOXI|15|8|2|S
39|ALIMENTOS VARIOS|1|14|3|S
39|ACCESORIO P.V.C.|2|8|2|S
39|VERIFICAR GRUPO 39|3|8|2|S
39|VERIFICAR GRUPO 39|5|7|2|S
39|GRUPO 39|6|5|1|S
39|CREMA DENTAL|9|3|1|S
39|CAMARAS BICICLETAS-MOTOS|10|7|2|S
39|SIN GRUPO - 39|21|14|3|S
